Name,Rank,Total Power,Troop Power,Combat Power,Combat Power verified,Hero Power,Hero Gear,Governor Gear,Charms,Pets,Furnace,VIP,Life Tree,Origin kingdom,Office,7d growth,Kills,Weekly activity,Activity rank,Weekly donations,Donation rank,Presence,On StratForge
TheyFearMe,R5,34363107,14593534,19769573,Yes,,,,,,TC 30,8,8,2362,,"'-184450",1495326,,,,,,No
Merlin,R4,45195273,12723534,32471739,Yes,,,,,,TC 30,0,10,2362,,4142355,11269175,,,,,,No
〆VΞYX,R4,51171094,20660498,30510596,Yes,,,,,,TC 30,0,9,2362,,"'-264931",5975235,,,,,,No
numaan,R4,43037450,15772060,27265390,Yes,,,,,,TC 29,0,9,2362,,190643,1524920,,,,,,Yes
DutyFree,R4,24485504,6823638,17661866,Yes,,,,,,TC 26,5,9,2362,,4624152,1947871,,,,,,No
亗k4,R4,24399528,7546987,16852541,Yes,,,,,,TC 26,0,7,2362,,22407,,,,,,,Yes
LLÚVATAR,R4,24020171,7862745,16157426,Yes,,,,,,TC 24,7,6,2362,,,,,,,,,No
WOOD,R4,20075869,4150818,15925051,Yes,,,,,,TC 26,5,8,2362,,2525640,3005251,,,,,,No
GANDALF,R4,18288860,5376714,12912146,Yes,,,,,,TC 25,0,8,2362,,,,,,,,,Yes
Jonna,R4,17396125,5111274,12284851,Yes,,,,,,TC 25,0,8,2362,,"'-73203",,,,,,,No
Arwen Beastiee,R4,14617998,5460319,9157679,Yes,,,,,,TC 24,4,8,2362,,,,,,,,,No
Vizuru,R3,43998584,12173970,31824614,Yes,,,,,,TC 29,9,9,2362,,4399083,,,,,,,No
Elgnro,R3,43836133,12155041,31681092,Yes,,,,,,TC 27,0,7,2362,,5743086,,,,,,,No
SirDrizALot,R3,33541560,7717983,25823577,Yes,,,,,,TC 26,8,8,2362,,,,,,,,,No
Scrumdiddly,R3,34040733,8896750,25143983,Yes,,,,,,TC 27,7,9,2362,,94697,,,,,,,No
Bones,R3,28157358,6953510,21203848,Yes,,,,,,TC 25,6,9,2362,,,1231166,,,,,,No
Dark,R3,28095262,7025739,21069523,Yes,,,,,,TC 25,6,8,2362,,30044,,,,,,,No
kivgrad,R3,26347789,6099907,20247882,Yes,,,,,,TC 26,0,10,2362,,1048514,2221721,,,,,,No
MistyDawn,R3,28590965,8807662,19783303,Yes,,,,,,TC 25,0,7,2362,,2167043,1013788,,,,,,No
jersniper,R3,24441426,5730410,18711016,Yes,,,,,,TC 25,6,10,2362,,86228,1624572,,,,,,No
