Name,Rank,Total Power,BT
〆VΞYX,R4,51171094,18:00 UTC
Merlin,R4,45195273,01:00 UTC
Vizuru,R3,43998584,01:00 UTC
Elgnro,R3,43836133,01:00 UTC
numaan,R4,43037450,18:00 UTC
TheyFearMe,R5,34363107,01:00 UTC
Scrumdiddly,R3,34040733,01:00 UTC
SirDrizALot,R3,33541560,18:00 UTC
MistyDawn,R3,28590965,01:00 UTC
Bones,R3,28157358,18:00 UTC
Dark,R3,28095262,18:00 UTC
Nyx,R3,27147890,18:00 UTC
kivgrad,R3,26347789,01:00 UTC
DutyFree,R4,24485504,01:00 UTC
jersniper,R3,24441426,18:00 UTC
亗k4,R4,24399528,18:00 UTC
蛋蛋不吃蛋,R3,24232268,01:00 UTC
СИВИЙ,R3,24037186,01:00 UTC
LLÚVATAR,R4,24020171,01:00 UTC
StrokerAce,R3,23479365,18:00 UTC
บักTui,R3,23273329,18:00 UTC
라지카쵸리,R3,22571427,01:00 UTC
GIOTTOMAN,R3,22228223,18:00 UTC
niky,R3,21751255,18:00 UTC
Sazabi,R3,21475920,01:00 UTC
EZZELDEEN,R3,21444296,18:00 UTC
Lancelot,R3,21298279,01:00 UTC
HealthCareCeo,R3,21175937,18:00 UTC
ZAYGIIII,R3,21045152,18:00 UTC
ErroR,R3,20800518,18:00 UTC
gan423,R3,20684661,18:00 UTC
Satpol PP,R3,20214773,01:00 UTC
مهدی,R3,20115142,01:00 UTC
WOOD,R4,20075869,01:00 UTC
Roman,R3,19917564,18:00 UTC
~Zew~,R3,19870672,01:00 UTC
I'm just a guy,R3,19746673,18:00 UTC
PAPITO,R3,19678158,18:00 UTC
Popzy,R3,19628073,18:00 UTC
SNØW BERK,R3,19536695,01:00 UTC
Wandi,R3,19487539,18:00 UTC
Trancos,R3,19482662,18:00 UTC
KOR T380,R3,19469657,01:00 UTC
AKA,R3,19448147,01:00 UTC
CARTEL SPARTANs,R3,19301380,01:00 UTC
Gurrburr,R3,19293108,18:00 UTC
Thorrr,R3,19236386,01:00 UTC
Choi,R3,19108422,01:00 UTC
Odysseus,R3,19027949,01:00 UTC
MrClay,R3,18939389,18:00 UTC
kilord,R3,18891473,01:00 UTC
큰형님,R3,18606687,18:00 UTC
幻海航行,R3,18566659,18:00 UTC
SirNil,R3,18547327,18:00 UTC
McSekanlı,R3,18296166,18:00 UTC
Riddle,R3,18289533,18:00 UTC
GANDALF,R4,18288860,18:00 UTC
SaintM,R3,18198455,01:00 UTC
Lord Raven,R3,18044766,01:00 UTC
wolf leon,R3,17832409,01:00 UTC
Lordihno,R3,17705209,18:00 UTC
BilboSwaggins,R3,17697260,01:00 UTC
bayo Angin,R3,17576493,01:00 UTC
Amira,R3,17508891,18:00 UTC
Dangerdog,R3,17457506,18:00 UTC
Thelordduke,R3,17429753,18:00 UTC
Prymitive,R3,17414314,18:00 UTC
Jonna,R4,17396125,18:00 UTC
RubTumpkins,R3,17352297,18:00 UTC
Zitos,R3,17326139,18:00 UTC
ATK615,R3,17303748,18:00 UTC
Joyboy,R3,17236080,01:00 UTC
holy lord,R3,17160386,18:00 UTC
hermajestythking,R3,17133975,18:00 UTC
rodan_22,R3,17072748,01:00 UTC
Baus Hawg,R3,17025720,18:00 UTC
GoDST0rM,R3,16734347,18:00 UTC
IsLena,R3,16687509,01:00 UTC
Lord Hero Kaspo,R3,16567926,01:00 UTC
活著真好,R3,16443477,18:00 UTC
Karont,R3,16373451,18:00 UTC
ⒶⓂⒷ⓪⑦,R3,16356207,18:00 UTC
EriktheRed,R3,16329407,18:00 UTC
Ⓢⓚⓨ,R3,16306990,18:00 UTC
Mathi201015,R3,16271587,01:00 UTC
Anayble,R3,16041082,18:00 UTC
ALİK,R3,16010179,18:00 UTC
saeed afshar zad,R3,15939136,01:00 UTC
faraz12,R3,15774997,01:00 UTC
Lion of Judah,R3,15654492,18:00 UTC
Estyfisherman,R3,15560156,18:00 UTC
cluster,R3,15447731,18:00 UTC
Billyyinyin,R3,15415867,01:00 UTC
Eliassito99,R3,14865988,01:00 UTC
Arwen Beastiee,R4,14617998,18:00 UTC
gguugguu,R3,14511665,18:00 UTC
Victer,R3,14424624,01:00 UTC
AthenaX,R3,14414993,18:00 UTC
mtrixx,R3,13699666,01:00 UTC
NOOP,R3,12680164,18:00 UTC
